id,c_id,date
135,871,2021.07.21
310,1007,2021.07.21
257,1007,2021.07.21
194,1007,2021.07.21
77,1007,2021.07.21
77,1007,2021.07.21
70,1007,2021.07.21
66,1007,2021.07.21
66,1079,2021.07.21
346,1125,2021.07.21
135,1165,2021.07.21
135,276,2021.07.22
117,276,2021.07.22
346,291,2021.07.22
282,867,2021.07.22
135,867,2021.07.22
346,867,2021.07.22
86,867,2021.07.22
88,867,2021.07.22
310,867,2021.07.22
144,867,2021.07.22
208,867,2021.07.22
225,867,2021.07.22
313,867,2021.07.22
162,867,2021.07.22
70,867,2021.07.22
227,867,2021.07.22
133,938,2021.07.22
77,1025,2021.07.22
226,1083,2021.07.22
194,1083,2021.07.22
89,1083,2021.07.22
81,1125,2021.07.22
320,683,2021.07.23
133,683,2021.07.23
475,683,2021.07.23
93,733,2021.07.23
81,791,2021.07.23
133,883,2021.07.23
194,933,2021.07.23
293,1081,2021.07.23
222,1085,2021.07.23
141,290,2021.07.24
202,523,2021.07.24
153,609,2021.07.24
130,609,2021.07.24
257,192,2021.07.25
275,291,2021.07.25
310,425,2021.07.25
227,368,2021.07.26
81,368,2021.07.26
81,368,2021.07.26
90,841,2021.07.26
89,841,2021.07.26
276,935,2021.07.26
162,1183,2021.07.26
346,1383,2021.07.26
133,263,2021.07.27
133,263,2021.07.27
243,335,2021.07.27
77,631,2021.07.27
77,631,2021.07.27
133,1000,2021.07.27
133,1000,2021.07.27
140,1000,2021.07.27
362,1083,2021.07.27
95,1083,2021.07.27
331,1083,2021.07.27
257,281,2021.07.28
194,281,2021.07.28
112,391,2021.07.28
362,603,2021.07.28
277,603,2021.07.28
277,603,2021.07.28
1051,774,2021.07.28
133,867,2021.07.28
133,943,2021.07.28
1049,943,2021.07.28
202,1008,2021.07.28
89,1008,2021.07.28
94,1026,2021.07.28
1050,1126,2021.07.28
324,723,2021.07.29
1016,723,2021.07.29
294,1016,2021.07.29
77,1306,2021.07.29
133,749,2021.07.30
133,749,2021.07.30
95,774,2021.07.30
77,1007,2021.07.30
133,1014,2021.07.30
346,1014,2021.07.30
310,1014,2021.07.30
257,1014,2021.07.30
190,1016,2021.07.30
310,1026,2021.07.30
