,al_id,u_id,datetime
439,90,54,2019.12.13
440,1018,54,2022.01.18
441,70,54,2020.07.03
442,1092,54,2021.09.26
443,280,54,2021.03.17
444,1094,54,2022.02.10
445,308,54,2021.05.17
446,80,54,2020.12.14
447,82,54,2020.12.14
448,275,55,2022.01.15
449,282,55,2022.01.15
450,194,55,2022.07.05
451,1049,55,2022.05.12
452,95,55,2022.07.25
453,243,55,2022.07.05
454,244,55,2022.07.05
455,77,55,2022.01.15
456,162,55,2022.07.05
457,326,55,2022.07.05
458,255,55,2022.07.25
459,255,55,2022.07.25
460,70,55,2022.01.15
461,81,55,2022.07.25
462,1098,55,2022.02.22
463,1098,55,2022.01.15
464,1062,55,2022.02.22
465,1062,55,2022.02.22
466,275,56,2021.01.05
467,144,56,2019.12.15
468,208,56,2020.10.14
469,257,56,2022.01.27
470,257,56,2021.09.09
471,194,56,2022.01.19
472,304,56,2022.05.23
473,303,56,2022.05.23
474,93,56,2022.05.23
475,148,56,2022.05.23
476,200,56,2020.01.30
477,202,56,2021.03.11
478,202,56,2021.01.05
479,254,56,2022.02.24
480,95,56,2021.09.11
481,77,56,2022.02.24
482,77,56,2022.01.23
483,77,56,2021.11.24
484,162,56,2020.09.01
485,162,56,2019.12.15
486,299,56,2021.01.05
487,1165,56,2022.02.16
488,115,56,2020.12.31
489,81,56,2022.05.02
490,1098,56,2022.03.27
491,190,56,2022.01.27
492,220,56,2020.05.09
493,224,56,2022.05.08
494,275,57,2021.07.25
495,147,57,2022.07.06
496,103,57,2021.08.14
497,111,57,2021.08.15
498,105,57,2021.08.14
499,225,57,2021.08.15
500,303,57,2022.01.25
501,281,57,2021.08.06
502,202,57,2021.12.15
503,1049,57,2022.01.25
504,1049,57,2021.08.05
505,1107,57,2022.05.21
506,1107,57,2022.04.22
507,1107,57,2022.01.25
508,1107,57,2022.01.25
509,1107,57,2022.01.25
510,327,57,2021.12.15
511,1092,57,2022.01.25
512,280,57,2022.01.25
513,280,57,2021.08.07
514,309,57,2021.07.14
515,224,57,2021.12.15
516,275,58,2021.03.02
517,283,58,2021.03.02
518,275,59,2022.02.22
519,226,59,2021.12.21
520,197,59,2022.02.22
521,76,59,2021.01.17
522,202,59,2021.05.24
523,202,59,2021.05.15
524,182,59,2021.12.09
525,181,59,2021.12.09
526,275,60,2020.12.22
527,275,61,2021.11.05
528,275,62,2022.05.25
529,153,62,2021.11.20
530,200,62,2021.11.20
531,202,62,2021.11.20
532,1049,62,2021.07.28
533,275,63,2022.08.10
534,138,63,2021.10.18
535,103,63,2021.10.18
536,225,63,2021.10.18
537,194,63,2021.10.18
538,77,63,2021.12.27
539,77,63,2021.12.08
540,89,63,2020.07.15
541,81,63,2022.02.22
542,1064,63,2021.10.18
543,100,63,2020.07.15
544,80,63,2021.10.18
545,224,63,2021.10.18
546,275,64,2021.04.13
547,275,65,2021.01.31
548,299,65,2021.01.31
549,308,65,2021.01.31
550,275,66,2022.01.11
551,282,66,2022.01.11
552,1050,66,2021.07.28
553,77,66,2021.12.13
554,1150,66,2022.01.24
