c_id,c_name,id,alname,al_star,date
149,건방진뚱보,190,고도리 복숭아 와인,5,2022.04.19
150,건천뇌,1177,운암 1945,5,2022.07.14
151,경*원,1064,"동백꽃, 제주",5,2021.12.11
152,경*은,194,고흥 유자주 8%,5,2022.07.23
152,경*은,1054,만월 40%,5,2022.07.23
152,경*은,77,매실원주,5,2022.07.23
153,경*현,194,고흥 유자주 8%,5,2021.11.01
154,고*균,70,서울의 밤,4.5,2021.12.22
155,고*리,77,매실원주,5,2021.03.15
155,고*리,70,서울의 밤,3,2021.03.15
156,고*미,76,홍삼명주,4.5,2021.08.02
156,고*미,77,매실원주,5,2021.08.02
156,고*미,70,서울의 밤,5,2021.08.02
158,고*성,133,담은,5,2022.02.23
158,고*성,1098,부안 해풍 오디주,5,2021.09.29
159,고*연,310,담화탁주,4.5,2021.11.10
160,고롱,194,고흥 유자주 8%,5,2022.01.22
160,고롱,77,매실원주,2,2022.01.22
161,고봉구,254,꿀샘16,5,2022.04.30
162,고야공,1049,금설,4.5,2022.06.27
162,고야공,254,꿀샘16,5,2022.06.27
162,고야공,66,술샘16,5,2022.06.27
163,고재,1093,백련 미스티 살균 막걸리,4,2022.07.06
163,고재,130,니모메,3.5,2022.07.06
163,고재,77,매실원주,5,2022.07.06
163,고재,77,매실원주,4.5,2022.07.06
163,고재,70,서울의 밤,5,2022.07.06
163,고재,1111,신애유자,4,2022.07.06
163,고재,1064,"동백꽃, 제주",4,2022.07.06
163,고재,224,혼디주,3.5,2022.07.06
164,곤지,1064,"동백꽃, 제주",5,2022.06.06
165,곰곰0,89,문경바람 오크 40%,5,2022.02.25
166,곰무륵,194,고흥 유자주 8%,5,2022.04.06
167,공*민,139,오미자 생 막걸리,5,2020.05.02
168,공*솜,1147,보일러 틀어놨어,4.5,2022.02.03
168,공*솜,304,능이주,4,2022.01.26
168,공*솜,199,하타,4,2022.02.03
168,공*솜,148,우렁이쌀 청주,5,2022.01.26
169,공이,1112,두레앙 22%,5,2022.06.14
170,과실주내놔,70,서울의 밤,5,2022.07.12
170,과실주내놔,81,추사 40%,4.5,2022.07.11
171,곽*경,197,단상지교,4,2020.01.30
